"bbs_code","age2","sex","metric","n","overallMEAN","overallVAR","overallSD","overallCV"
"TL","adults","unknown","tarsus",55,24.6730909090909,0.478910445983274,0.692033558422765,0.0280481096175827
"TL","adults","unknown","winglength",161,160.560062111801,11.0860732874535,3.32957554163492,0.0207372586796614
"TL","non-adult","unknown","billlength",34,15.97,0.411399999444569,0.641404708000003,0.0401631000626176
"TL","non-adult","unknown","headbill",34,37.39,1.49940000020206,1.22449989800002,0.0327493955068205
"TL","non-adult","unknown","tarsus",34,24.79,0.666399999545547,0.816333264999992,0.0329299421137552
"TL","non-adult","unknown","winglength",34,160.85,15.7215999960754,3.9650472879999,0.024650589294373
"TL","unknown","female","billlength",56,15.7,0.25,0.5,0.0318471337579618
"TL","unknown","female","tarsus",55,24.1,0.490000000000009,0.700000000000007,0.0290456431535272
"TL","unknown","female","winglength",54,158,12.6735999999983,3.55999999999976,0.0225316455696187
"TL","unknown","male","billlength",50,15.7,0.211600000000004,0.460000000000005,0.0292993630573251
"TL","unknown","male","tarsus",50,24,0.336400000000026,0.580000000000022,0.0241666666666676
"TL","unknown","male","winglength",47,158,14.1375999999982,3.75999999999976,0.0237974683544289
"TM","adults","female","headbill",54,31.5,0.384400000000028,0.620000000000022,0.0196825396825404
"TM","adults","female","tail",54,57.4,4.16159999999991,2.03999999999998,0.0355400696864108
"TM","adults","female","tarsus",54,22.3,0.518399999999986,0.71999999999999,0.0322869955156946
"TM","adults","female","winglength",54,123.7,5.80810000000019,2.41000000000004,0.0194826192400973
"TM","adults","male","headbill",102,31.8,0.435600000000022,0.660000000000017,0.0207547169811326
"TM","adults","male","tail",102,56.5,5.80810000000019,2.41000000000004,0.0426548672566379
"TM","adults","male","tarsus",102,22.2,0.518399999999986,0.71999999999999,0.032432432432432
"TM","adults","male","winglength",102,121.9,5.90489999999954,2.42999999999991,0.0199343724364225
"TM","unknown","female","billlength",24,11,0.168099999999995,0.409999999999994,0.0372727272727268
"TM","unknown","female","tarsus",25,22.1,0.756899999999973,0.869999999999985,0.0393665158371034
"TM","unknown","female","winglength",25,121,8.58489999999983,2.92999999999997,0.0242148760330576
"TM","unknown","male","billlength",20,10.8,0.240099999999998,0.489999999999998,0.0453703703703702
"TM","unknown","male","tarsus",20,21.5,0.462400000000002,0.680000000000002,0.0316279069767443
"TM","unknown","male","winglength",19,120,8.70249999999942,2.9499999999999,0.0245833333333325
"TM","unknown","unknown","billlength",43,11.5,0.25,0.5,0.0434782608695652
"TM","unknown","unknown","headbill",55,31.8,0.490000000000009,0.700000000000007,0.0220125786163524
"TM","unknown","unknown","tail",14,58.4,7.84000000000015,2.80000000000003,0.0479452054794525
"TM","unknown","unknown","tarsus",60,22.9,0.639999999999986,0.799999999999991,0.0349344978165935
"TM","unknown","unknown","winglength",71,123.1,6.76000000000022,2.60000000000004,0.0211210398050369
"WE","adults","female","billlength",12,58.6,14.0625,3.75,0.0639931740614334
"WE","adults","female","tail",15,305,361,19,0.0622950819672131
"WE","adults","female","tarsus",7,96.5,4.62249999999949,2.14999999999988,0.0222797927461128
"WE","adults","female","winglength",14,668,650.25,25.5,0.0381736526946108
"WE","adults","male","billlength",17,52.6,7.67290000000003,2.77,0.052661596958175
"WE","adults","male","tail",17,280,368.639999999999,19.2,0.0685714285714285
"WE","adults","male","tarsus",10,94.5,4.04010000000017,2.01000000000004,0.0212698412698417
"WE","adults","male","winglength",19,606,686.440000000002,26.2,0.0432343234323433
"WE","non-adult","female","billlength",22,56.7,8.70249999999987,2.94999999999998,0.052028218694885
"WE","non-adult","female","tail",28,345,313.289999999994,17.6999999999998,0.0513043478260864
"WE","non-adult","female","winglength",29,685,729,27,0.0394160583941606
"WE","non-adult","male","billlength",20,52.9,4.12089999999989,2.02999999999997,0.0383742911153114
"WE","non-adult","male","tail",23,322,566.440000000002,23.8000000000001,0.073913043478261
"WE","non-adult","male","winglength",24,645,492.840000000026,22.2000000000006,0.0344186046511637
